week,Date,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,online_order_perc,Total_Investment,TV,Digital,Sponsorship,Content_marketing,Online_marketing,Affiliates,SEM,Radio,Other,NPS,Stock_Index,Special_sales,Payday
1,2022-01-03 00:00:00,138384.115,1342.009,1504.339,0.108,3.288,2.375,77.849,56290.658,11880.947,20367.381,0.000,2934.806,9653.555,4833.367,6620.601,0.000,0.000,55.000,979.496,0,1
2,2022-01-10 00:00:00,145141.010,1355.804,1529.649,0.114,5.298,1.784,61.731,59029.799,10144.739,17658.585,0.000,2439.127,16422.205,4109.974,8255.169,0.000,0.000,67.100,1030.463,0,0
3,2022-01-17 00:00:00,131880.653,1307.114,1449.680,0.098,4.782,2.318,83.244,57691.294,8914.054,15814.534,0.000,5512.091,12512.355,7807.113,7131.146,0.000,0.000,52.200,1024.711,0,1
4,2022-01-24 00:00:00,141377.157,1249.877,1469.802,0.150,6.174,1.807,80.501,52431.172,8115.286,11781.297,6358.480,5468.332,8761.879,3535.387,7957.215,0.000,453.295,64.300,1051.441,0,0
5,2022-01-31 00:00:00,121818.423,1337.969,1610.985,0.169,3.631,2.771,66.234,61909.922,10802.181,16038.219,10047.207,3867.656,10634.966,7121.705,3397.988,0.000,0.000,64.400,1114.550,0,1
6,2022-02-07 00:00:00,131579.302,1359.967,1650.168,0.176,5.609,1.917,80.311,57006.842,11570.683,19801.927,0.000,3374.721,8299.491,7182.715,5048.546,1843.557,0.000,54.500,1030.571,0,0
7,2022-02-14 00:00:00,138003.903,1352.047,1560.560,0.134,4.778,2.483,62.399,48100.128,11017.134,12976.853,0.000,4356.299,8801.145,7023.440,3925.256,0.000,0.000,70.600,1153.812,0,1
8,2022-02-21 00:00:00,139521.084,1382.691,1583.029,0.127,4.294,2.571,72.932,69918.276,10279.408,23941.566,0.000,4752.066,11009.977,7143.928,12791.330,0.000,0.000,49.700,1162.443,0,0
9,2022-02-28 00:00:00,111315.076,1397.902,1585.553,0.118,4.031,2.560,80.181,67732.039,10078.399,19140.981,0.000,5470.447,17076.369,5396.408,9262.006,1307.430,0.000,62.800,1187.664,0,1
10,2022-03-07 00:00:00,147803.618,1321.090,1513.586,0.127,5.851,0.444,80.431,58215.828,9606.616,14106.358,7744.912,3043.617,15034.878,4901.427,3778.020,0.000,0.000,61.900,1183.349,0,0
11,2022-03-14 00:00:00,148256.417,1250.526,1484.713,0.158,4.421,2.212,74.083,60953.279,10335.140,20122.948,0.000,4992.384,8572.831,3023.244,13906.731,0.000,0.000,60.000,1264.676,0,1
12,2022-03-21 00:00:00,133243.538,1426.005,1722.815,0.172,5.283,2.789,65.006,70540.990,11975.601,17532.060,0.000,3747.370,13079.910,6301.961,17904.088,0.000,0.000,59.100,1288.510,0,0
13,2022-03-28 00:00:00,132139.891,1294.415,1570.418,0.176,6.050,1.279,79.030,71429.533,12341.252,16315.218,10163.163,3692.490,12311.118,7712.378,8893.914,0.000,0.000,62.200,1258.319,0,0
14,2022-04-04 00:00:00,137840.023,1446.151,1710.886,0.155,3.281,1.568,62.809,63693.050,12693.716,20478.714,0.000,2805.431,10566.024,8296.238,8852.927,0.000,0.000,47.300,1283.139,0,1
15,2022-04-11 00:00:00,141126.294,1260.198,1490.177,0.154,4.734,2.082,67.160,67169.367,12903.588,15708.717,10584.671,3495.538,9732.515,4300.239,10444.099,0.000,0.000,59.400,1292.815,0,0
16,2022-04-18 00:00:00,141338.216,1379.183,1633.721,0.156,5.139,1.866,71.167,68240.042,13577.195,18127.195,0.000,2582.841,15197.075,5425.873,13329.863,0.000,0.000,68.500,1312.133,0,1
17,2022-04-25 00:00:00,138899.223,1243.068,1486.610,0.164,3.973,2.597,72.913,67814.213,13939.761,19543.330,0.000,2266.323,13729.716,4126.145,14208.939,0.000,0.000,68.600,1352.803,0,0
18,2022-05-02 00:00:00,149886.437,1252.208,1497.229,0.164,5.013,1.763,64.511,66455.591,14228.961,15660.886,0.000,4903.918,11506.557,3872.728,15708.094,0.000,574.448,67.700,1412.318,0,1
19,2022-05-09 00:00:00,136788.391,1285.195,1488.542,0.137,4.835,2.361,73.434,65495.758,14337.060,10258.146,0.000,2344.710,19504.652,5952.576,13098.613,0.000,0.000,68.800,1409.017,0,0
20,2022-05-16 00:00:00,147558.553,1253.901,1496.663,0.162,4.630,1.742,68.920,56998.751,14667.093,14118.241,0.000,4699.831,10867.423,3107.929,9538.235,0.000,0.000,68.900,1428.049,0,1
21,2022-05-23 00:00:00,151583.489,1330.110,1552.986,0.143,6.222,2.623,60.075,62319.086,14779.061,20671.278,0.000,3314.053,9570.590,4711.028,9273.076,0.000,0.000,61.000,1473.522,0,0
22,2022-05-30 00:00:00,150615.320,1195.193,1396.865,0.144,4.676,2.054,73.027,63364.037,14751.466,13702.451,7382.758,3139.346,10205.986,4484.821,9697.208,0.000,0.000,61.100,1458.665,0,1
23,2022-06-06 00:00:00,157180.465,1214.007,1417.726,0.144,5.878,2.119,76.082,57512.465,14933.023,17855.553,0.000,4241.325,10140.743,3752.288,6589.533,0.000,0.000,67.200,1510.806,0,0
24,2022-06-13 00:00:00,158213.131,1304.377,1523.811,0.144,5.351,1.773,66.604,68496.324,14517.168,15652.734,11713.183,2076.998,8437.203,5502.934,10596.105,0.000,0.000,66.300,1483.464,0,0
25,2022-06-20 00:00:00,227059.931,1099.042,1462.025,0.248,5.277,1.448,70.840,72050.445,14289.288,14876.987,0.000,4980.396,14542.702,6196.649,17164.422,0.000,0.000,58.400,1533.857,1,0
26,2022-06-27 00:00:00,229257.706,1175.629,1505.868,0.219,4.406,2.171,65.908,59515.923,13811.345,10118.405,0.000,5434.394,14081.986,5997.270,10072.522,0.000,0.000,58.500,1579.332,1,0
